Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average
08/29/2021,35,WI,0,"6,454,213","8,973",0,"3,429,080","4,488",Admin,0,"8,973",0,"3,157,522","3,900"
08/29/2021,35,KS,0,"2,902,155","4,816",0,"1,617,840","2,299",Admin,0,"4,817",0,"1,352,517","2,268"
08/29/2021,35,NC,"36,766","10,428,500","30,942","19,004","5,878,330","17,216",Report,"36,766","30,942","15,498","4,843,999","12,254"
08/29/2021,35,OR,0,"4,959,522","6,284",0,"2,683,039","3,574",Admin,0,"6,284",0,"2,436,020","2,381"
08/29/2021,35,TN,623,"6,260,373","18,312",258,"3,430,942","9,617",Report,623,"18,312",322,"2,833,047","6,761"
08/29/2021,35,VI,9,"94,650",332,0,"52,580",126,Report,9,332,21,"42,342",209
08/29/2021,35,NJ,"21,610","10,969,246","23,156","10,241","6,012,365","11,079",Report,"21,610","23,156","9,867","5,441,259","10,625"
08/29/2021,35,PR,"16,944","4,224,421","11,425","10,774","2,341,218","7,338",Report,"16,944","11,425","5,738","2,005,132","3,957"
08/29/2021,35,MI,"17,918","10,167,391","14,514","7,798","5,380,459","6,426",Report,"17,918","14,514","8,114","5,034,646","6,505"
08/29/2021,35,MD,0,"7,579,595","10,755",0,"4,089,244","5,049",Admin,0,"10,756",0,"3,695,130","4,728"
08/29/2021,35,MP,0,"66,514",141,0,"34,833",50,Admin,0,141,0,"32,224",81
08/29/2021,35,NM,"8,798","2,635,135","6,954","4,599","1,445,166","3,506",Report,"8,798","6,954","3,165","1,255,176","2,801"
08/29/2021,35,FL,0,"24,748,548","51,338",0,"13,832,479","21,257",Admin,0,"51,338",0,"11,432,623","24,308"
08/29/2021,35,LTC,"1,032","7,931,034","1,084",813,"4,690,962",810,Report,"1,032","1,084",0,0,0
08/29/2021,35,MO,"12,203","5,934,827","16,540","4,820","3,271,702","6,896",Report,"12,203","16,540","6,548","2,759,476","8,466"
08/29/2021,35,CA,"130,757","47,870,018","100,928","63,717","27,156,250","49,856",Report,"130,757","100,928","57,650","22,007,910","43,683"
08/29/2021,35,MS,695,"2,447,362","9,581",428,"1,375,316","4,975",Report,695,"9,581",404,"1,122,793","4,019"
08/29/2021,35,MO,0,"5,934,827","11,200",0,"3,271,702","4,685",Admin,0,"11,200",0,"2,803,949","5,768"
08/29/2021,35,AL,"24,575","4,097,445","25,900","11,783","2,369,063","11,767",Report,"24,575","25,900","10,414","1,860,445","11,265"
08/29/2021,35,RI,0,"1,389,773","1,494",0,"749,962",742,Admin,0,"1,494",0,"681,981",643
08/29/2021,35,CO,0,"6,801,408","9,327",0,"3,661,176","3,901",Admin,0,"9,328",0,"3,284,302","4,039"
08/29/2021,35,TX,"97,747","30,027,551","102,787","40,953","16,912,508","48,404",Report,"97,747","102,787","45,968","13,686,139","44,492"
08/29/2021,35,IN,"15,299","6,398,557","12,865","8,302","3,387,070","6,754",Report,"15,299","12,865","6,079","3,107,387","5,260"
08/29/2021,35,VA,0,"10,199,882","12,418",0,"5,550,454","6,002",Admin,0,"12,418",0,"4,868,835","5,364"
08/29/2021,35,AR,0,"2,784,921","6,993",0,"1,601,474","2,682",Admin,0,"6,994",0,"1,244,504","3,912"
08/29/2021,35,WV,0,"1,512,950",992,0,"840,270",432,Admin,0,992,0,"705,270",236
08/29/2021,35,MT,0,"1,019,130","1,131",0,"558,577",619,Admin,0,"1,131",0,"490,880",431
08/29/2021,35,ND,"2,179","697,162","1,505","1,147","384,859",824,Report,"2,179","1,505",809,"317,412",541
08/29/2021,35,LA,"23,206","4,194,490","19,875","8,751","2,346,898","8,303",Report,"23,206","19,875","13,007","1,926,000","10,430"
08/29/2021,35,NC,0,"10,428,500","19,730",0,"5,878,330","10,916",Admin,0,"19,731",0,"4,892,252","8,213"
08/29/2021,35,MA,"10,968","9,448,906","11,616","4,876","5,176,031","5,563",Report,"10,968","11,616","4,746","4,535,474","5,059"
08/29/2021,35,SC,"20,221","4,784,703","15,228","10,744","2,661,154","7,955",Report,"20,221","15,228","7,810","2,219,966","6,057"
08/29/2021,35,KY,0,"4,534,547","9,555",0,"2,524,083","5,311",Admin,0,"9,556",0,"2,154,347","3,710"
08/29/2021,35,WA,0,"9,469,153","13,019",0,"5,150,079","7,510",Admin,0,"13,019",0,"4,573,049","4,748"
08/29/2021,35,DE,"2,570","1,148,553","2,605","1,243","637,055","1,232",Report,"2,570","2,605","1,107","537,021","1,148"
